Valentine Clement;"Devil May Cry 5";"Gears 5";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Disco Elysium";"Pathologic 2";"";"Pathologic 2";"Portal 2";"DOOM";"Alpha Protocol™";"Prey";"Dishonored";"Alan Wake";"Deus Ex: Human Revolution - Director's Cut";"Yakuza 0";"Mass Effect 2";"";"";"";"";""
Maryse Launay;"Destiny 2";"Halo: The Master Chief Collection";"Spyro™ Reignited Trilogy";"Heave Ho";"Yakuza Kiwami 2";"";"Spyro™ Reignited Trilogy";"TEKKEN 7";"Crash Bandicoot™ N. Sane Trilogy";"Heave Ho";"Return of the Obra Dinn ";"DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light";"DARK SOULS™ III";"The Witcher® 3: Wild Hunt";"Yakuza Kiwami 2";"NieR:Automata™";"";"Destiny 2";"Risk of Rain 2";"";"CONTRA: ROGUE CORPS"
Laurence du Georges;"Dicey Dungeons";"A Short Hike";"Blasphemous";"Sekiro™: Shadows Die Twice";"Slay the Spire";"";"Battle Brothers";"Slay the Spire";"XCOM® 2";"Dead Cells";"Transistor";"The Witcher® 3: Wild Hunt";"Portal 2";"Divinity: Original Sin 2";"Hollow Knight";"DARK SOULS™: Prepare To Die™ Edition";"";"Dota 2";"Risk of Rain 2";"Beat Saber";""
Henriette Turpin;"River City Girls";"Bloodstained";"Sekiro";"Disco Elysium";"Eliza";"";"";"";"";"";"";"";"";"";"";"Nier: Automata";"";"";"";"";""
Louis Dumas-Caron;"Touhou Luna Nights";"SaGa SCARLET GRACE: AMBITIONS™";"Devil May Cry 5";"Digimon Story Cyber Sleuth: Complete Edition";"古剑奇谭三(Gujian3)";"";"Yakuza 0";"Subnautica";"Hollow Knight";"DARK SOULS™: Prepare To Die™ Edition";"Ys Origin";"Undertale";"NieR:Automata™";"Umineko When They Cry - Question Arcs";"The House in Fata Morgana";"The Legend of Heroes: Trails in the Sky the 3rd";"";"";"";"";""
Marc Blanchet;"Yakuza Kiwami 2";"Bloodstained: Ritual of the Night";"Tales of Vesperia: Definitive Edition";"Whispers of a Machine";"Disco Elysium";"";"";"";"";"";"";"";"";"";"";"The Witcher® 3: Wild Hunt";"";"";"";"";""
Antoine Allain du Mace;"Devil May Cry 5";"Crackdown 3";"Death Crown";"Children of Morta";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"";"The Witcher® 3: Wild Hunt";"Celeste";"Ori and the Blind Forest";"Mass Effect 2";"Hellblade: Senua's Sacrifice";"Yakuza 0";"Prey";"Opus Magnum";"HITMAN™ 2";"LIFE IS STRANGE COMPLETE SEASON (EPISODES 1-5)";"";"HITMAN™ 2";"DJMAX RESPECT V";"Pistol Whip";"Touhou Luna Nights"
Suzanne du Briand;"My Friend Pedro";"Creature in the Well";"Dicey Dungeons";"The Legend of Bum-Bo";"Slay the Spire";"";"VVVVVV";"Slay the Spire";"TowerFall Ascension";"Portal 2";"Hollow Knight";"Ori and the Blind Forest: Definitive Edition";"Rayman® Origins";"Crash Bandicoot™ N. Sane Trilogy";"The Witness";"Spelunky";"";"Gwent";"Griftlands";"";"Spyro™ Reignited Trilogy"
Patrick Fabre-Couturier;"Disco Elysium";"Gibbous - A Cthulhu Adventure";"Life is Strange 2";"My Time At Portia";"The Walking Dead: The Final Season";"";"Alpha Protocol™";"Prey";"Deus Ex: Mankind Divided";"Alan Wake";"The Witcher 2: Assassins of Kings Enhanced Edition";"Divinity: Original Sin 2 - Definitive Edition";"Dishonored 2";"Deus Ex: Human Revolution - Director's Cut";"Life is Strange";"The Witcher® 3: Wild Hunt";"";"Destiny 2";"";"";"Anthem"
Suzanne Le Traore;"Baba Is You";"Sekiro™: Shadows Die Twice";"Disco Elysium";"DiRT Rally 2.0";"Katana ZERO";"";"Mass Effect 2";"DARK SOULS™: Prepare To Die™ Edition";"Hollow Knight";"Counter-Strike: Global Offensive";"Transistor";"Dishonored";"Mass Effect™ 3";"DARK SOULS™ II";"Nioh: Complete Edition / 仁王 Complete Edition";"Dota 2";"";"Dota 2";"Noita";"DiRT Rally 2.0";"Anthem™"
Hortense Blondel;"";"The Outer Worlds";"Bloodstained: Ritual of the Night";"SaGa SCARLET GRACE: AMBITIONS™";"Disco Elysium";"";"Pathfinder: Kingmaker";"Destiny 2";"Undertale";"Dark Souls";"Monster Hunter World";"Dragon Quest XI";"SaGa SCARLET GRACE: AMBITIONS™";"Disco Elysium";"Baldur's Gate 2: Enhanced Edition";"Divinity: Original Sin 2";"";"Monster Hunter World";"";"";""
Sylvie Legendre de Voisin;"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Total War: THREE KINGDOMS";"FINAL FANTASY XIV: Shadowbringers";"Disco Elysium";"Sekiro™: Shadows Die Twice";"";"";"";"";"";"";"";"";"";"";"Fallout: New Vegas";"";"";"";"";"Epic Games Store"
Martin Peltier de Masse;"Bloodstained: Ritual of the Night";"Castlevania Anniversary Collection";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Red Dead Redemption 2";"Sekiro™: Shadows Die Twice";"";"Mass Effect 2";"DARK SOULS™ II: Scholar of the First Sin";"Divinity: Original Sin Enhanced Edition";"Spelunky";"The Witcher® 3: Wild Hunt";"Sekiro™: Shadows Die Twice";"Portal 2";"DARK SOULS™: REMASTERED";"METAL GEAR SOLID V: THE PHANTOM PAIN";"DARK SOULS™ III";"";"Destiny 2";"";"";""
Denis Legendre;"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Kind Words (lo fi chill beats to write to)";"Slay the Spire";"Dicey Dungeons";"Disco Elysium";"";"MONSTER HUNTER: WORLD";"Spec Ops: The Line";"HITMAN™ 2";"Disco Elysium";"Portal 2";"Dishonored 2";"Fallout: New Vegas";"The Witcher® 3: Wild Hunt";"FEZ";"Into the Breach";"";"Destiny 2";"";"";"The Outer Worlds"
Roger de Noel;"Rise of Industry";"Age of Wonders: Planetfall";"Baba Is You";"Heaven's Vault";"Disco Elysium";"";"Age of Empires II: Definitive Edition";"Dota 2";"Sid Meier’s Civilization®️ V";"Counter-Strike: Global Offensive";"Portal 2";"Stellaris";"Endless Legend™️";"Cities: Skylines";"Divinity: Original Sin 2 - Definitive Edition";"Crusader Kings II";"";"Counter-Strike: Global Offensive";"Risk of Rain 2";"BONEWORKS";"Anthem"
Aimée Pons;"";"";"";"";"Disco Elysium";"";"Divinity: Original Sin 2";"BATTLETECH";"Path of Exile";"XCOM 2";"X3: Albion Prelude";"Hearts of Iron IV";"Europa Universalis IV";"Mount & Blade: Warband";"Crusader Kings II";"Factorio";"";"";"";"";"Imperator: Rome"
Laure-Marie Lefebvre;"Mutazione";"Sekiro™: Shadows Die Twice";"MO:Astray";"Red Dead Redemption 2";"Disco Elysium";"";"Sleeping Dogs: Definitive Edition";"Night in the Woods";"Divinity: Original Sin 2 - Definitive Edition";"Red Dead Redemption 2";"Cuphead";"Papers, Please";"Disco Elysium";"DARK SOULS™: REMASTERED";"Dishonored 2";"Deus Ex: Human Revolution - Director's Cut";"";"";"Hades";"";"Bloodstained: Ritual of the Night"
Margaux Lebreton;"";"";"";"";"ACE COMBAT™ 7: SKIES UNKNOWN";"";"Grand Theft Auto V";"LIMBO";"FEZ";"Alien: Isolation";"Portal 2";"GUILTY GEAR Xrd -REVELATOR-";"Factorio";"Sid Meier's Civilization® V";"XCOM® 2";"Hollow Knight";"";"";"";"";""
Gilbert Gosselin-Leroy;"Red Dead Redemption 2";"Yakuza Kiwami 2";"STAR WARS Jedi: Fallen Order™";"Sekiro™: Shadows Die Twice";"Disco Elysium";"";"Portal 2";"Yakuza 0";"Life is Strange";"Undertale";"NieR:Automata™";"Disco Elysium";"The Witcher® 3: Wild Hunt";"The Legend of Heroes: Trails in the Sky SC";"Mass Effect 2";"Counter-Strike: Global Offensive";"";"Life is Strange 2";"";"Beat Saber";"Anthem"
Vincent Meunier;"";"";"";"";"n/a";"";"NieR:Automata™";"METAL GEAR SOLID V: THE PHANTOM PAIN";"Yakuza 0";"Portal 2";"The Last of Us";"The Witness";"Dishonored - Definitive Edition";"The Witcher® 3: Wild Hunt";"Dragon's Dogma: Dark Arisen";"DARK SOULS™: Prepare To Die™ Edition";"";"";"";"";"Gears 5"
David Toussaint;"Katana Zero";"Devil May Cry 5";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Baba is You";"Sekiro™: Shadows Die Twice";"";"428: Shibuya Scramble";"Metal Gear Solid V: The Phantom Pain";"Divinity: Original Sin";"Hyper Light Drifter";"Xenoblade Chronicles";"Darkest Dungeon";"Dark Souls 3";"Sekiro™: Shadows Die Twice";"Mass Effect 2";"Transistor";"";"Destiny 2";"";"";"Epic Games Store"
Agathe-Geneviève Chevalier;"Vampire: The Masquerade - Coteries of New York";"A Plague Tale: Innocence";"AI: The Somnium Files";"RESIDENT EVIL 2 / BIOHAZARD RE:2";"Disco Elysium";"";"";"";"";"";"";"";"";"";"";"Prey";"";"";"";"";""
Denis Bodin;"Oxygen Not Included";"Kind Words";"Streets of Rogue";"My Time at Portia";"Disco Elysium";"";"Borderlands 2";"Elite Dangerous";"Assetto Corsa";"Divinity: Original Sin";"Final Fantasy XIV";"Crusader Kings II";"Path of Exile";"American Truck Simulator";"Euro Truck Simulator 2";"Minecraft";"";"Path of Exile";"";"";"EGS"
Charles Carlier-Martinez;"";"";"Devil May Cry 5";"A Plague Tale: Innocence";"Resident Evil 2";"";"Portal 2";"XCOM® 2";"Yakuza 0";"NieR:Automata™ ";"Mass Effect 2";"DARK SOULS™: Prepare To Die™ Edition";"Resident Evil 2";"The Legend of Heroes: Trails in the Sky SC";"Divinity: Original Sin 2";"The Witcher® 3: Wild Hunt";"";"";"";"";""
Yves Meyer;"Resident Evil 2";"Devil May Cry 5";"Hunt: Showdown";"Risk of Rain 2";"Sekiro: Shadows Die Twice";"";"Dark Souls 3";"Nier: Automata";"The Witcher 3";"Hollow Knight";"The Witness";"Portal 2";"Spelunky";"Red Dead Redemption";"Sekiro";"Dark Souls";"";"Destiny 2";"Risk of Rain 2";"Beat Saber";""
